ID,Response
50883,0.2943197
50884,0.1995237
50885,0.27321088
50886,0.2118981
50887,0.22083844
50888,0.18660302
50889,0.35378698
50890,0.34680176
50891,0.4554798
50892,0.35065088
50893,0.30931646
50894,0.25985774
50895,0.29806623
50896,0.17655088
50897,0.23189428
50898,0.2334465
50899,0.13977246
50900,0.22917898
50901,0.19432107
50902,0.31618392
50903,0.012742754
50904,0.22352518
50905,0.47637415
50906,-0.037850652
50907,0.16946863
50908,0.2199169
50909,0.13367184
50910,0.30161372
50911,0.3749629
50912,0.28754905
50913,0.24519376
50914,0.2585917
50915,0.18120654
50916,0.23892179
50917,0.48794997
50918,0.2633308
50919,0.23664753
50920,0.20543972
50921,0.26127988
50922,0.11763359
50923,0.23330116
50924,0.17937255
50925,0.27924907
50926,0.2600773
50927,0.3298177
50928,0.31054822
50929,0.14408027
50930,0.13033575
50931,0.13581501
50932,0.49805883
50933,0.12506278
50934,0.16462035
50935,0.3407825
50936,0.42070702
50937,0.47073597
50938,0.20005232
50939,0.3325075
50940,0.28746408
50941,0.39082363
50942,0.45615464
50943,0.23541602
50944,0.23799142
50945,0.34448177
50946,0.31081364
50947,0.21997851
50948,0.20822623
50949,0.09000208
50950,0.25034797
50951,0.19838208
50952,0.4571925
50953,0.28625762
50954,0.16814665
50955,0.21062078
50956,0.2570717
50957,0.01926432
50958,0.23847485
50959,0.00886622
50960,0.28513953
50961,0.06365649
50962,0.2632763
50963,0.106181696
50964,0.30540594
50965,0.475676
50966,0.2823571
50967,0.27802715
50968,0.2541826
50969,0.35490012
50970,0.20007253
50971,0.11865997
50972,0.26393235
50973,0.03917408
50974,0.13019125
50975,0.47234964
50976,0.2853288
50977,0.2980304
50978,0.33011135
50979,0.18091196
50980,0.646563
50981,0.28311163
50982,0.2743682
50983,0.3075448
50984,0.28111663
50985,0.21902719
50986,0.21992402
50987,0.38675678
50988,0.3917799
50989,-0.013168996
50990,0.15267552
50991,0.29631054
50992,0.20873846
50993,0.14972763
50994,0.19543107
50995,0.30302066
50996,0.004817789
50997,0.20106511
50998,0.17856008
50999,-0.05159105
51000,0.21288082
51001,0.2827296
51002,0.25718263
51003,0.49627712
51004,0.2932122
51005,0.34966505
51006,0.3628526
51007,0.34289107
51008,0.3819041
51009,0.20812021
51010,0.27400455
51011,0.2593486
51012,0.5329468
51013,0.36147922
51014,0.1051143
51015,0.20721741
51016,-0.004341775
51017,-0.09763894
51018,0.31526345
51019,0.23401335
51020,0.28236073
51021,0.35238066
51022,0.3038425
51023,0.17171487
51024,0.21390264
51025,0.21323694
51026,0.2520012
51027,0.1821293
51028,0.24155697
51029,0.25180897
51030,0.3048001
51031,0.43103993
51032,0.23251274
51033,0.15598164
51034,0.22462276
51035,0.24429946
51036,0.35661313
51037,0.22834703
51038,0.29408225
51039,0.17897654
51040,0.2980639
51041,0.19450754
51042,0.17657384
51043,0.1273005
51044,0.26727542
51045,0.17253819
51046,0.24062517
51047,0.12133852
51048,0.12503853
51049,0.1962451
51050,0.4713102
51051,0.399778
51052,0.51322347
51053,0.0775764
51054,0.1484477
51055,0.2940321
51056,0.238507
51057,0.14171009
51058,0.32077166
51059,0.40368953
51060,0.46572217
51061,0.46125248
51062,0.35259447
51063,0.2564396
51064,0.36213943
51065,0.3247542
51066,0.19885129
51067,0.18753675
51068,0.203155
51069,0.45759892
51070,0.06931564
51071,0.22932597
51072,0.14084588
51073,0.061830796
51074,0.27879286
51075,-0.022808509
51076,0.1416845
51077,0.35613275
51078,0.21444388
51079,0.1594972
51080,0.30096278
51081,0.23869246
51082,0.36638996
51083,0.2674238
51084,0.117855564
51085,0.32794356
51086,0.3313604
51087,0.18723123
51088,-0.026210539
51089,0.16433291
